Entity Type,Entity,Document Count
dates,"June 2, 2008",5
dates,"June 2, 2017",5
dates,"June 22, 2018",5
dates,"June 23, 2018",5
dates,"June 25, 2011",5
dates,"June 26, 2008",5
dates,"June 27, 2008",5
dates,"June 30, 2011",5
dates,"June 7, 2007",5
dates,"Mar 7, 2011",5
dates,"Mar 9, 2016",5
dates,"March 08, 2011",5
dates,"March 11, 2018",5
dates,"March 19, 2015",5
dates,"March 22, 2011",5
dates,"March 23, 2011",5
dates,"March 24, 2010",5
dates,"May 10, 2017",5
dates,"May 11, 2015",5
dates,"May 22, 2019",5
dates,"May 29, 2015",5
dates,"May 6, 2019",5
dates,"May 7, 2012",5
dates,"Nov 1, 2017",5
dates,"Nov 17, 2017",5
dates,"Nov 4, 2016",5
dates,"November 1, 2017",5
dates,"November 25, 2018",5
dates,"Oct 26, 2015",5
dates,"Oct 8, 2016",5
dates,"Oct 9, 2009",5
dates,"October 08, 2009",5
dates,"October 22, 2011",5
dates,"October 8, 2016",5
dates,"Sep 11, 2017",5
dates,"Sep 17, 2016",5
dates,"Sep 23, 2014",5
dates,"Sep 23, 2017",5
dates,"Sep 24, 2017",5
dates,"September 24, 2018",5
dates,"Apr 16, 2017",4
dates,"Apr 23, 2019",4
dates,"April 19, 2010",4
dates,"April 23, 2015",4
dates,"April 24, 2015",4
dates,April 3 2011,4
dates,"April 7, 2014",4
dates,"April 9, 2010",4
dates,"Aug 11, 2009",4
dates,"Aug 11, 2016",4
dates,"Aug 17, 2016",4
dates,"Aug 18, 2012",4
dates,"Aug 18, 2018",4
dates,"Aug 20, 2012",4
dates,"Aug 21, 2018",4
dates,"Aug 22, 2018",4
dates,"Aug 23, 2018",4
dates,"Aug 25, 2017",4
dates,"Aug 8, 2016",4
dates,"August 04, 2006",4
dates,"August 27, 2015",4
dates,"August 29, 2018",4
dates,"Dec 12, 2018",4
dates,"Dec 13, 2018",4
dates,"Dec 15, 2010",4
dates,"Dec 15, 2016",4
dates,"Dec 2, 2015",4
dates,"Dec 30, 2017",4
dates,"December 1, 2010",4
dates,"December 17, 2010",4
dates,"December 2, 2017",4
dates,"December 31, 2016",4
dates,"December 31, 2017",4
dates,"December 6, 2018",4
dates,"December 9, 2016",4
dates,"Feb 1, 2017",4
dates,"Feb 1, 2019",4
dates,"Feb 10, 2016",4
dates,"Feb 17, 2017",4
dates,"Feb 19, 2017",4
dates,"Feb 25, 2016",4
dates,"Feb 26, 2010",4
dates,"February 12, 2013",4
dates,"February 13, 2008",4
dates,"February 14, 2017",4
dates,"February 16, 2011",4
dates,"February 20, 2019",4
dates,"February 27, 2019",4
dates,"Jan 10, 2013",4
dates,"Jan 11, 2010",4
dates,"Jan 17, 2013",4
dates,"Jan 18, 2013",4
dates,"Jan 21, 2019",4
dates,"Jan 22, 2019",4
dates,"Jan 4, 2014",4
dates,"Jan 5, 2015",4
dates,"Jan 7, 2018",4
dates,"Jan 8, 2017",4
dates,"Jan 9, 2013",4
dates,"January 15, 2015",4
dates,"January 16, 2018",4
dates,"January 2, 2015",4
dates,"January 22, 2015",4
dates,"January 30, 2011",4
dates,"January 31, 1990",4
dates,"January 4, 2006",4
dates,"January 4, 2015",4
dates,"January 6, 2015",4
dates,"January 7, 2015",4
dates,"January 8, 2016",4
dates,"January 8, 2017",4
dates,"Jul 13, 2018",4
dates,"Jul 27, 2006",4
dates,"July 11, 2011",4
dates,"July 13, 2011",4
dates,"July 13, 2016",4
dates,"July 14, 2015",4
dates,"July 21, 2008",4
dates,"July 31, 2009",4
dates,"Jun 19, 2018",4
dates,"Jun 2, 2017",4
dates,"Jun 22, 2018",4
dates,"Jun 23, 2018",4
dates,"Jun 24, 2011",4
dates,"Jun 6, 2018",4
dates,"Jun 7, 2018",4
dates,"June 1, 2006",4
dates,"June 12, 2013",4
dates,"June 13, 2008",4
dates,"June 14, 2012",4
dates,"June 15, 2013",4
dates,"June 16, 2006",4
dates,"June 16, 2011",4
dates,"June 20, 2008",4
dates,"June 23, 2017",4
dates,"June 24, 2017",4
dates,"June 25, 2009",4
dates,"June 3, 2019",4
dates,"June 4, 2015",4
dates,"June 6, 2011",4
dates,"June 9, 2010",4
dates,"Mar 11, 2018",4
dates,"Mar 19, 2018",4
dates,"Mar 22, 2017",4
dates,"Mar 3, 2017",4
dates,"Mar 31, 2015",4
dates,"March 17, 2017",4
dates,"March 19, 2008",4
dates,"March 2, 2011",4
dates,"March 27, 2007",4
dates,"March 9, 2016",4
dates,"May 1, 2006",4
dates,"May 1, 2016",4
dates,"May 10, 2015",4
dates,"May 11, 2011",4
dates,"May 15, 2008",4
dates,"May 16, 2008",4
dates,"May 16, 2011",4
dates,"May 17, 2017",4
dates,"May 2, 2018",4
dates,"May 20, 2011",4
dates,"May 21, 2016",4
dates,"May 3, 2018",4
dates,"May 5, 2018",4
dates,May 6 2019,4
dates,"Nov 20, 2017",4
dates,"Nov 27, 2016",4
dates,"Nov 3, 2010",4
dates,"Nov 6, 2016",4
dates,"November 04, 2016",4
dates,"November 17, 2012",4
dates,"November 28, 2018",4
dates,November 3 2010,4
dates,"November 3, 2013",4
dates,"November 4, 2015",4
dates,"November 5, 2010",4
dates,"Oct 2, 2016",4
dates,"Oct 4, 2018",4
dates,"Oct 5, 2013",4
dates,"October 03, 2018",4
dates,"October 08, 2016",4
dates,"October 11, 2010",4
dates,"October 11, 2011",4
dates,"October 17, 2010",4
dates,"October 27, 2017",4
dates,"October 6, 2009",4
dates,"Sep 13, 2017",4
dates,"Sep 21, 2015",4
dates,"Sep 26, 2016",4
dates,"September 17, 2015",4
dates,"September 18, 2018",4
dates,"September 19, 2007",4
dates,"September 20, 2007",4
dates,"September 21, 2009",4
dates,"September 22, 2010",4
dates,"September 23, 2007",4
dates,"September 3, 2006",4
dates,"September 30, 2016",4
dates,"Apr 16, 2018",3
dates,"Apr 7, 2017",3
dates,"April 02, 2011",3
dates,"April 1, 1981",3
dates,"April 10, 2009",3
dates,"April 13, 2010",3
dates,"April 15, 2004",3
dates,"April 16, 2007",3
dates,"April 2, 2007",3
dates,"April 22, 2007",3
dates,"April 22, 2015",3
dates,"April 25, 2013",3
dates,"April 26, 2016",3
dates,"April 27, 2016",3
dates,"April 6, 2007",3
dates,"Aug 24, 2015",3
dates,"Aug 27, 2015",3
dates,"August 1, 2013",3
dates,"August 11, 2008",3
dates,"August 11, 2018",3
dates,"August 13, 2018",3
dates,"August 18, 2008",3
dates,"August 21, 2008",3
dates,"August 22, 2018",3
dates,"August 23, 2011",3
dates,"August 31, 2007",3
dates,"August 4, 2008",3
dates,"August 6, 2010",3
dates,"August 7, 2008",3
dates,"August 7, 2009",3
dates,"August 8, 2008",3
dates,"August 8, 2018",3
dates,"Dec 14, 2013",3
dates,"Dec 2, 2017",3
dates,"Dec 21, 2018",3
dates,"Dec 22, 2017",3
dates,"Dec 31, 2017",3
dates,"Dec 4, 2018",3
dates,"Dec 6, 2013",3
dates,"Dec 6, 2018",3
dates,"December 1, 2018",3
dates,"December 10, 2015",3
dates,"December 10, 2016",3
dates,"December 11, 2017",3
dates,"December 16, 2016",3
dates,"December 20, 2016",3
dates,"December 20, 2018",3
dates,"December 21, 2005",3
dates,"December 21, 2018",3
dates,"December 31, 2012",3
dates,"December 31, 2018",3
dates,"December 5, 2018",3
dates,"December 8, 2011",3
dates,"Feb 10, 2018",3
dates,"Feb 19, 2016",3
dates,"Feb 21, 2019",3
dates,"Feb 4, 2017",3
dates,"Feb 6, 2011",3
dates,"Feb 6, 2017",3
dates,"Feb 8, 2018",3
dates,"Feb 9, 2018",3
dates,"February 09, 2011",3
dates,"February 10, 2006",3
dates,"February 13, 2011",3
dates,"February 19, 2008",3
dates,"February 19, 2016",3
dates,"February 21, 2007",3
dates,"February 21, 2018",3
dates,"February 7, 2011",3
dates,"February 7, 2013",3
dates,"Jan 16, 2018",3
dates,"Jan 25, 2019",3
dates,"Jan 26, 2007",3
dates,"Jan 26, 2013",3
dates,"Jan 26, 2019",3
dates,"Jan 29, 2007",3
dates,"Jan 4, 2015",3
dates,"Jan 5, 2010",3
dates,"Jan 6, 2017",3
dates,"January 1, 2003",3
dates,"January 1, 2017",3
dates,"January 1, 2018",3
dates,"January 1, 2020",3
dates,"January 12, 2016",3
dates,"January 13, 2011",3
dates,"January 16, 2016",3
dates,"January 17, 2011",3
dates,"January 20, 2001",3
dates,"January 21, 1997",3
dates,"January 22, 2016",3
dates,"January 23, 2016",3
dates,"January 25, 2007",3
dates,"January 25, 2019",3
dates,"January 26, 2011",3
dates,"January 29, 2007",3
dates,"January 3, 2015",3
dates,"January 30, 2009",3
dates,"January 30, 2017",3
dates,"January 5, 2007",3
dates,"January 5, 2015",3
dates,January 6 2014,3
dates,"January 6, 2017",3
dates,"January 8, 2015",3
dates,"Jul 1, 2011",3
dates,"Jul 20, 2017",3
dates,"Jul 23, 2010",3
dates,"Jul 24, 2010",3
dates,"Jul 24, 2018",3
dates,"Jul 28, 2016",3
dates,"Jul 4, 2018",3
dates,"July 1, 2007",3
dates,"July 1, 2013",3
dates,"July 1, 2014",3
dates,"July 1, 2016",3
dates,"July 1, 2017",3
dates,"July 12, 2006",3
dates,"July 12, 2011",3
dates,"July 12, 2013",3
dates,"July 14, 2009",3
dates,"July 14, 2014",3
dates,"July 14, 2016",3
dates,"July 15, 2008",3
dates,"July 16, 2008",3
dates,"July 17, 2014",3
dates,"July 18, 2008",3
dates,"July 19, 2008",3
dates,"July 19, 2010",3
dates,"July 25, 2011",3
dates,"July 26, 2017",3
dates,"July 27, 2011",3
dates,"July 31, 2007",3
dates,"July 4, 2018",3
dates,"July 7, 2015",3
dates,"July 8, 2008",3
dates,"Jun 24, 2016",3
dates,"Jun 28, 2016",3
dates,"Jun 7, 2014",3
dates,"June 1, 2009",3
dates,"June 1, 2018",3
dates,"June 10, 2009",3
dates,"June 10, 2010",3
dates,"June 11, 2015",3
dates,"June 14, 2015",3
dates,"June 16, 2008",3
dates,"June 17, 2011",3
dates,"June 19, 2012",3
dates,"June 19, 2013",3
dates,"June 2, 2014",3
dates,"June 21, 2014",3
dates,"June 23, 2013",3
dates,"June 24, 2008",3
dates,"June 24, 2013",3
dates,"June 26, 2013",3
dates,"June 26, 2017",3
dates,"June 29, 2009",3
dates,"June 29, 2010",3
dates,"June 3, 2015",3
dates,"June 30, 2017",3
dates,"June 4, 1967",3
dates,"June 5, 2008",3
dates,"June 6, 2013",3
dates,"June 8, 2011",3
dates,"Mar 20, 2016",3
dates,"Mar 23, 2017",3
dates,"Mar 5, 2017",3
dates,"Mar 7, 2018",3
dates,"March 09, 2016",3
dates,"March 1, 2016",3
dates,"March 14, 2006",3
dates,"March 14, 2019",3
dates,"March 15, 2012",3
dates,"March 15, 2017",3
dates,"March 16, 2018",3
dates,"March 17, 2004",3
dates,"March 17, 2011",3
dates,"March 18, 2016",3
dates,"March 19, 2018",3
dates,"March 2, 2019",3
dates,"March 20, 2011",3
dates,"March 20, 2018",3
dates,"March 21, 2018",3
dates,"March 23, 2010",3
dates,"March 24, 2015",3
dates,"March 29, 2007",3
dates,March 31 2015,3
dates,"March 31, 2017",3
dates,"March 4, 2015",3
dates,"March 5, 2007",3
dates,"March 6, 2014",3
dates,"March 6, 2019",3
dates,March 7 2011,3
dates,"May 1, 2007",3
dates,"May 1, 2015",3
dates,"May 10, 2013",3
dates,"May 10, 2016",3
dates,May 11 2017,3
dates,"May 11, 2008",3
dates,"May 11, 2016",3
dates,"May 11, 2017",3
dates,"May 12, 2014",3
dates,"May 13, 2015",3
dates,"May 15, 2013",3
dates,"May 16, 2016",3
dates,"May 16, 2017",3
dates,"May 19, 2018",3
dates,"May 2, 2016",3
dates,"May 20, 1997",3
dates,"May 21, 2015",3
dates,"May 27, 2008",3
dates,"May 27, 2015",3
dates,"May 28, 2015",3
dates,"May 29, 2009",3
dates,"May 29, 2010",3
dates,"May 30, 2017",3
dates,"May 4, 2010",3
dates,"May 4, 2011",3
dates,"May 4, 2018",3
dates,"May 5, 2015",3
dates,"Nov 13, 2016",3
dates,"Nov 18, 2016",3
dates,"Nov 20, 2016",3
dates,"Nov 5, 2018",3
dates,"Nov 9, 2016",3
dates,November 10 2016,3
dates,"November 11, 2016",3
dates,"November 13, 2015",3
dates,"November 14, 2017",3
dates,"November 15, 2008",3
dates,"November 15, 2010",3
dates,"November 20, 2017",3
dates,"November 20, 2018",3
dates,"November 21, 2005",3
dates,"November 21, 2016",3
dates,"November 22, 2010",3
dates,"November 23, 2015",3
dates,"November 29, 2016",3
dates,"November 3, 2003",3
dates,"November 6, 2006",3
dates,"November 7, 2008",3
dates,"November 8, 2008",3
dates,"Oct 26, 2010",3
dates,"Oct 27, 2017",3
dates,"Oct 28, 2015",3
dates,"Oct 5, 2018",3
dates,"October 04, 2018",3
dates,"October 1, 1964",3
dates,"October 11, 2018",3
dates,"October 13, 2010",3
dates,"October 15, 2015",3
dates,"October 19, 2016",3
dates,"October 20, 2016",3
dates,"October 21, 2010",3
dates,"October 25, 2008",3
dates,"October 26, 2017",3
dates,"October 31, 2016",3
dates,"October 4, 2006",3
dates,"Sep 18, 2015",3
dates,"Sep 19, 2018",3
dates,"Sep 22, 2011",3
dates,"Sep 3, 2017",3
dates,"Sep 3, 2018",3
dates,"September 11, 1970",3
dates,"September 14, 2005",3
dates,September 15 2013,3
dates,"September 16, 2016",3
dates,"September 18, 2008",3
dates,September 20 2014,3
dates,"September 21, 2015",3
dates,"September 23, 2014",3
dates,"September 25, 2017",3
dates,"September 28, 2010",3
dates,"September 28, 2016",3
dates,"September 30, 1999",3
dates,"September 30, 2017",3
dates,"September 7, 2011",3
dates,"Apr 11, 2013",2
dates,"Apr 12, 2016",2
dates,"Apr 13, 2019",2
dates,"Apr 14, 2015",2
dates,"Apr 14, 2018",2
dates,"Apr 15, 2015",2
dates,"Apr 2, 2011",2
dates,"Apr 21, 2014",2
dates,"Apr 21, 2015",2
dates,"Apr 22, 2017",2
dates,"Apr 29, 2017",2
dates,"Apr 3, 2011",2
dates,"Apr 3, 2018",2
dates,"Apr 30, 2011",2
dates,"Apr 4, 2011",2
dates,"Apr 5, 2017",2
dates,"Apr 6, 2018",2
dates,"Apr 7, 2015",2
dates,"Apr 8, 2017",2
dates,"Apr 9, 2017",2
dates,"April 03, 2011",2
dates,"April 07, 2011",2
dates,"April 1, 1991",2
dates,"April 1, 2013",2
dates,"April 1, 2015",2
dates,"April 10, 2017",2
dates,"April 12, 1984",2
dates,"April 12, 2013",2
dates,"April 13, 2019",2
dates,"April 14, 1865",2
dates,"April 14, 2004",2
dates,"April 14, 2006",2
dates,"April 14, 2010",2
dates,"April 15, 2002",2
dates,"April 15, 2008",2
dates,"April 16, 2011",2
dates,"April 17, 2006",2
dates,"April 17, 2008",2
dates,"April 17, 2012",2
dates,"April 17, 2014",2
dates,"April 19, 2017",2
dates,"April 2, 2012",2
dates,"April 20, 2015",2
dates,"April 20, 2017",2
dates,"April 21, 2014",2
dates,"April 22, 1996",2
dates,"April 24, 2014",2
dates,"April 24, 2016",2
dates,"April 25, 2018",2
dates,"April 26, 2005",2
dates,"April 26, 2011",2
dates,"April 27, 2013",2
dates,"April 27, 2017",2
dates,"April 28, 2008",2
dates,"April 29, 2013",2
dates,"April 29, 2017",2
dates,"April 30, 2013",2
dates,"April 30, 2018",2
dates,"April 5, 2013",2
dates,"April 6, 2015",2
dates,"April 7, 1998",2
dates,"April 7, 2015",2
dates,"April 8, 2012",2
dates,"April 8, 2016",2
dates,"April 9, 2012",2
dates,"April 9, 2018",2
dates,"Aug 10, 2015",2
dates,"Aug 12, 2016",2
dates,"Aug 16, 2016",2
dates,"Aug 18, 2017",2
dates,"Aug 29, 2016",2
dates,"Aug 5, 2016",2
dates,"Aug 6, 2015",2
dates,"Aug 7, 2015",2
dates,"Aug 8, 2015",2
dates,"August 03, 2011",2
dates,"August 03, 2012",2
dates,"August 03, 2015",2
dates,"August 05, 2015",2
dates,"August 05, 2016",2
dates,"August 06, 2015",2
dates,"August 07, 2015",2
dates,"August 08, 2016",2
dates,August 12 2018,2
dates,"August 12, 2008",2
dates,"August 12, 2016",2
dates,"August 16, 2007",2
dates,"August 16, 2010",2
dates,"August 17, 2016",2
dates,"August 17, 2018",2
dates,"August 2, 2016",2
dates,"August 2, 2018",2
dates,"August 20, 2015",2
dates,"August 21, 2007",2
dates,"August 22, 2011",2
dates,"August 23, 2018",2
dates,August 26 2013,2
dates,"August 29, 2013",2
dates,August 3 2018,2
dates,"August 4, 2012",2
dates,"August 6, 2018",2
dates,"August 7, 1970",2
dates,"August 8, 2017",2
dates,"August 9, 2017",2
dates,"Dec 1, 2015",2
dates,"Dec 1, 2018",2
dates,"Dec 11, 2015",2
dates,"Dec 14, 2018",2
dates,"Dec 16, 2010",2
dates,"Dec 16, 2016",2
dates,"Dec 19, 2016",2
dates,"Dec 2, 2014",2
dates,"Dec 20, 2016",2
dates,"Dec 25, 2016",2
dates,"Dec 26, 2018",2
dates,"Dec 28, 2014",2
dates,"Dec 29, 2015",2
dates,"Dec 4, 2015",2
dates,"Dec 9, 2015",2
dates,"Dec 9, 2016",2
dates,"December 1, 2012",2
dates,"December 1, 2016",2
dates,"December 1, 2017",2
dates,"December 10, 2014",2
dates,"December 11, 2010",2
dates,"December 11, 2012",2
dates,"December 13, 2007",2
dates,"December 14, 2013",2
dates,"December 15, 2013",2
dates,"December 15, 2015",2
dates,"December 15, 2017",2
dates,"December 16, 1976",2
dates,"December 17, 2016",2
dates,"December 18, 2015",2
dates,"December 18, 2016",2
dates,"December 19, 2007",2
dates,"December 21, 2004",2
dates,"December 21, 2017",2
dates,"December 22, 2018",2
dates,"December 24, 2009",2
dates,"December 24, 2015",2
dates,"December 26, 2018",2
dates,"December 29, 2017",2
dates,"December 3, 2018",2
dates,"December 31, 2010",2
dates,"December 31, 2014",2
dates,"December 4, 2018",2
